Trade_ID,Date,Asset_Type,Buy_Sell,Quantity,Price,Value,Portfolio_ID
1,2025-01-01,Option,Buy,66,74.1,4890.599999999999,PF004
2,2025-01-02,Stock,Buy,153,42.4,6487.2,PF001
3,2025-01-03,Option,Buy,147,44.4,6526.8,PF001
4,2025-01-04,Option,Buy,137,103.5,14179.5,PF004
5,2025-01-05,Stock,Sell,158,49.7,7852.6,PF005
6,2025-01-06,Stock,Buy,119,77.3,9198.699999999999,PF003
7,2025-01-07,Option,Sell,123,68.8,8462.4,PF005
8,2025-01-08,Bond,Sell,112,64.3,7201.599999999999,PF003
9,2025-01-09,Option,Buy,109,103.0,11227.0,PF004
10,2025-01-10,Option,Sell,128,41.5,5312.0,PF001
11,2025-01-11,Option,Sell,86,86.5,7439.0,PF001
12,2025-01-12,Option,Sell,71,107.4,7625.400000000001,PF005
13,2025-01-13,Stock,Sell,197,79.2,15602.400000000001,PF001
14,2025-01-14,Option,Buy,145,105.6,15312.0,PF004
15,2025-01-15,Bond,Sell,117,43.7,5112.900000000001,PF005
16,2025-01-16,Stock,Buy,66,69.3,4573.8,PF003
17,2025-01-17,Bond,Sell,61,58.2,3550.2000000000003,PF001
18,2025-01-18,Bond,Sell,199,91.2,18148.8,PF002
19,2025-01-19,Bond,Buy,194,108.7,21087.8,PF001
20,2025-01-20,Bond,Sell,187,58.0,10846.0,PF003
21,2025-01-21,Stock,Sell,167,85.8,14328.6,PF005
22,2025-01-22,Stock,Sell,71,53.9,3826.9,PF003
23,2025-01-23,Bond,Buy,169,79.6,13452.4,PF002
24,2025-01-24,Bond,Sell,99,72.5,7177.5,PF004
25,2025-01-25,Stock,Buy,63,108.0,6804.0,PF001
26,2025-01-26,Stock,Sell,78,82.6,6442.799999999999,PF005
27,2025-01-27,Stock,Buy,174,64.5,11223.0,PF004
28,2025-01-28,Option,Buy,56,48.0,2688.0,PF003
29,2025-01-29,Option,Sell,78,50.6,3946.8,PF005
30,2025-01-30,Option,Sell,188,55.8,10490.4,PF004
31,2025-01-31,Bond,Buy,82,57.6,4723.2,PF005
32,2025-02-01,Option,Buy,183,99.5,18208.5,PF002
33,2025-02-02,Bond,Sell,160,79.3,12688.0,PF002
34,2025-02-03,Bond,Buy,128,76.6,9804.8,PF001
35,2025-02-04,Option,Sell,107,48.0,5136.0,PF001
36,2025-02-05,Bond,Sell,75,100.2,7515.0,PF002
37,2025-02-06,Option,Sell,78,90.6,7066.799999999999,PF005
38,2025-02-07,Option,Sell,53,44.7,2369.1000000000004,PF002
39,2025-02-08,Stock,Buy,148,89.5,13246.0,PF001
40,2025-02-09,Option,Sell,190,78.0,14820.0,PF002
41,2025-02-10,Stock,Buy,88,45.7,4021.6000000000004,PF002
42,2025-02-11,Option,Sell,64,72.1,4614.4,PF005
43,2025-02-12,Option,Buy,168,73.9,12415.2,PF004
44,2025-02-13,Stock,Sell,78,51.6,4024.8,PF001
45,2025-02-14,Stock,Buy,124,106.2,13168.800000000001,PF005
46,2025-02-15,Option,Buy,165,99.5,16417.5,PF002
47,2025-02-16,Bond,Sell,81,86.8,7030.8,PF002
48,2025-02-17,Stock,Sell,179,72.4,12959.6,PF004
49,2025-02-18,Bond,Sell,133,68.8,9150.4,PF001
50,2025-02-19,Bond,Sell,71,85.6,6077.599999999999,PF001
51,2025-02-20,Bond,Buy,76,78.2,5943.2,PF003
52,2025-02-21,Stock,Sell,130,44.4,5772.0,PF001
53,2025-02-22,Bond,Buy,175,75.9,13282.500000000002,PF004
54,2025-02-23,Stock,Buy,141,96.4,13592.400000000001,PF003
55,2025-02-24,Bond,Sell,70,72.1,5047.0,PF003
56,2025-02-25,Option,Buy,96,43.6,4185.6,PF002
57,2025-02-26,Option,Buy,150,95.0,14250.0,PF002
58,2025-02-27,Stock,Buy,133,54.1,7195.3,PF001
59,2025-02-28,Option,Buy,55,58.1,3195.5,PF003
60,2025-03-01,Option,Sell,196,51.5,10094.0,PF002
61,2025-03-02,Bond,Sell,180,63.1,11358.0,PF004
62,2025-03-03,Stock,Sell,50,93.0,4650.0,PF002
63,2025-03-04,Bond,Sell,107,76.4,8174.8,PF002
64,2025-03-05,Bond,Buy,173,54.3,9393.9,PF003
65,2025-03-06,Bond,Buy,64,101.4,6489.6,PF003
66,2025-03-07,Bond,Sell,113,101.6,11480.8,PF005
67,2025-03-08,Bond,Sell,74,100.9,7466.6,PF004
68,2025-03-09,Bond,Sell,73,56.7,4139.1,PF003
69,2025-03-10,Bond,Buy,61,71.6,4367.599999999999,PF001
70,2025-03-11,Stock,Sell,67,108.9,7296.3,PF004
71,2025-03-12,Option,Sell,64,94.0,6016.0,PF004
72,2025-03-13,Bond,Sell,76,41.9,3184.4,PF003
73,2025-03-14,Bond,Buy,121,44.6,5396.6,PF004
74,2025-03-15,Bond,Buy,109,72.5,7902.5,PF003
75,2025-03-16,Bond,Buy,194,103.6,20098.399999999998,PF002
76,2025-03-17,Bond,Buy,142,77.7,11033.4,PF005
77,2025-03-18,Bond,Buy,102,74.8,7629.599999999999,PF002
78,2025-03-19,Option,Buy,57,47.4,2701.7999999999997,PF003
79,2025-03-20,Option,Buy,128,86.0,11008.0,PF003
80,2025-03-21,Bond,Buy,76,97.5,7410.0,PF002
81,2025-03-22,Option,Sell,99,66.6,6593.4,PF001
82,2025-03-23,Stock,Sell,180,94.3,16974.0,PF001
83,2025-03-24,Bond,Buy,142,107.5,15265.0,PF001
84,2025-03-25,Stock,Buy,73,54.3,3963.8999999999996,PF003
85,2025-03-26,Stock,Sell,109,76.6,8349.4,PF004
86,2025-03-27,Bond,Buy,171,60.1,10277.1,PF003
87,2025-03-28,Option,Buy,180,95.5,17190.0,PF004
88,2025-03-29,Stock,Buy,197,80.4,15838.800000000001,PF002
89,2025-03-30,Bond,Sell,95,84.4,8018.000000000001,PF005
90,2025-03-31,Stock,Sell,64,95.9,6137.6,PF004
91,2025-04-01,Stock,Sell,66,67.7,4468.2,PF001
92,2025-04-02,Stock,Sell,175,104.1,18217.5,PF003
93,2025-04-03,Stock,Sell,133,77.3,10280.9,PF002
94,2025-04-04,Option,Buy,58,51.1,2963.8,PF001
95,2025-04-05,Stock,Sell,112,88.7,9934.4,PF002
96,2025-04-06,Stock,Buy,166,95.5,15853.0,PF005
97,2025-04-07,Stock,Buy,179,62.2,11133.800000000001,PF003
98,2025-04-08,Option,Sell,137,100.0,13700.0,PF003
99,2025-04-09,Stock,Sell,121,103.4,12511.400000000001,PF005
100,2025-04-10,Stock,Buy,188,59.4,11167.199999999999,PF003
